feature,accuracy
nrem_rbp_theta,0.7222222222222222
nrem_theta_alpha,0.6666666666666666
wake_p2p,0.5555555555555556
wake_theta_alpha,0.5555555555555556
nrem_bp_theta,0.5555555555555556
wake_bp_delta,0.5
nrem_bp_gamma,0.5
wake_bp_theta,0.5
wake_hjorth_mob,0.5
nrem_theta_beta,0.5
nrem_bp_delta,0.4444444444444444
nrem_bp_beta,0.4444444444444444
wake_total_var,0.4444444444444444
wake_rbp_theta,0.4444444444444444
nrem_bp_alpha,0.4444444444444444
wake_high_freq_idx,0.4444444444444444
wake_zcr,0.4444444444444444
wake_rms,0.4444444444444444
wake_bp_alpha,0.3888888888888889
wake_theta_beta,0.3888888888888889
wake_rbp_beta,0.3333333333333333
wake_bp_beta,0.3333333333333333
wake_bp_gamma,0.2777777777777778
wake_rbp_gamma,0.2222222222222222
nrem_slow_fast,0.1111111111111111
wake_rbp_delta,0.0
wake_rbp_alpha,0.0
wake_coeff_var,0.0
wake_slow_fast,0.0
wake_td_ratio,0.0
wake_ap_exp,0.0
wake_spectral_entropy,0.0
wake_hjorth_comp,0.0
wake_lzc,0.0
nrem_rbp_delta,0.0
nrem_rbp_alpha,0.0
nrem_td_ratio,0.0
nrem_rbp_gamma,0.0
nrem_rbp_beta,0.0
nrem_high_freq_idx,0.0
