feature,wt_mean,ko_mean,pval,cohens_d,sig,n_wt,n_ko,pval_fdr,fdr_sig
wake_bp_delta,0.37597,0.37298,0.9296,0.036,ns,9,9,1.0,False
wake_bp_theta,0.2179,0.24548,0.0637,-0.772,ns,9,9,0.6226666666666667,False
wake_bp_alpha,0.13284,0.13098,0.9296,0.08,ns,9,9,1.0,False
wake_bp_beta,0.1325,0.12175,0.8598,0.248,ns,9,9,1.0,False
wake_bp_gamma,0.06838,0.06328,0.9296,0.158,ns,9,9,1.0,False
nrem_bp_delta,0.48339,0.46297,0.5962,0.205,ns,9,9,1.0,False
nrem_bp_theta,0.17361,0.19804,0.2164,-0.674,ns,9,9,1.0,False
nrem_bp_alpha,0.11689,0.12169,0.5365,-0.178,ns,9,9,1.0,False
nrem_bp_beta,0.10444,0.10449,0.7239,-0.001,ns,9,9,1.0,False
nrem_bp_gamma,0.05589,0.05091,1.0,0.167,ns,9,9,1.0,False
rem_bp_delta,0.22417,0.21802,0.6588,0.091,ns,9,9,1.0,False
rem_bp_theta,0.36817,0.40754,0.0774,-0.899,ns,9,9,0.6226666666666667,False
rem_bp_alpha,0.16573,0.16223,0.4268,0.148,ns,9,9,1.0,False
rem_bp_beta,0.12983,0.11651,0.7239,0.374,ns,9,9,1.0,False
rem_bp_gamma,0.06288,0.06034,0.8598,0.08,ns,9,9,1.0,False
all_bp_delta,0.39053,0.38226,0.7239,0.098,ns,9,9,1.0,False
all_bp_theta,0.22021,0.2468,0.0934,-0.738,ns,9,9,0.6226666666666667,False
all_bp_alpha,0.13167,0.13126,0.8598,0.018,ns,9,9,1.0,False
all_bp_beta,0.12478,0.11725,0.9296,0.179,ns,9,9,1.0,False
all_bp_gamma,0.06455,0.05983,1.0,0.149,ns,9,9,1.0,False
